Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
364,"Indianapolis-Carmel-Anderson, IN MSA",United States,184394.0,2141779,Indianapolis-Carmel-Anderson,IN MSA
365,Indore,India,81.0,3175000,Indore,
366,Innsbruck,Austria,15921.0,228866,Innsbruck,
367,"Iowa City, IA MSA",United States,12900.0,178991,Iowa City,IA MSA
368,Iserlohn,Germany,16739.0,91873,Iserlohn,
369,Istanbul metropolitan area,Türkiye,275365.0,16500000,Istanbul,
370,"Ithaca, NY MSA",United States,7274.0,104777,Ithaca,NY MSA
371,İzmir,Türkiye,51460.0,3050000,İzmir,
372,"Jackson, MI MSA",United States,7990.0,160066,Jackson,MI MSA
373,"Jackson, MS MSA",United States,34043.0,583197,Jackson,MS MSA
374,"Jackson, TN MSA",United States,10814.0,181579,Jackson,TN MSA
375,"Jacksonville, FL MSA",United States,117162.0,1675668,Jacksonville,FL MSA
376,"Jacksonville, NC MSA",United States,10737.0,207298,Jacksonville,NC MSA
377,Jaipur,India,15.0,4050000,Jaipur,
378,Jakarta metropolitan area,Indonesia,323030.0,34307088,Jakarta,
379,"Janesville-Beloit, WI MSA",United States,9277.0,164060,Janesville-Beloit,WI MSA
380,Jeddah,Saudi Arabia,138970.0,5500000,Jeddah,
381,"Jefferson City, MO MSA",United States,9698.0,150350,Jefferson City,MO MSA
382,Jerusalem,Israel,480.0,1008400,Jerusalem,
383,Jiayuguan,China,4083.0,312663,Jiayuguan,
384,Jinan,China,179.0,6200000,Jinan,
385,Jinchang,China,5199.0,438026,Jinchang,
386,Beijing,China,618648.0,21500000,Beijing,
387,Jingmen,China,27640.0,2596927,Jingmen,
388,Jiujiang,China,46981.0,4600276,Jiujiang,
389,Johannesburg,South Africa,134682.0,8400042,Johannesburg,
390,"Johnson City, TN MSA",United States,9943.0,210256,Johnson City,TN MSA
391,"Johnstown, PA MSA",United States,5499.0,131441,Johnstown,PA MSA
392,"Jonesboro, AR MSA",United States,7016.0,135512,Jonesboro,AR MSA
393,"Joplin, MO MSA",United States,9407.0,184086,Joplin,MO MSA
394,Jundiaí,Brazil,20081.0,698679,Jundiaí,
395,Kabul,Afghanistan,6000.0,4800000,Kabul,
396,Kagoshima,Japan,530.0,1588256,Kagoshima,
397,"Kahului-Wailuku-Lahaina, HI MSA",United States,11649.0,164351,Kahului-Wailuku-Lahaina,HI MSA
398,Kaiserslautern,Germany,9577.0,124300,Kaiserslautern,
399,"Kalamazoo-Portage, MI MSA",United States,18786.0,261173,Kalamazoo-Portage,MI MSA
400,"Kankakee, IL MSA",United States,8320.0,106074,Kankakee,IL MSA
401,"Kansas City, MO-KS MSA",United States,169501.0,2209494,Kansas City,MO-KS MSA
402,Kaohsiung,Taiwan,58071.0,2775000,Kaohsiung,
403,Karachi,Pakistan,1762.0,14910352,Karachi,
404,Karamay,China,12858.0,490348,Karamay,
405,Karlsruhe,Germany,43054.0,504030,Karlsruhe,
406,Kassel,Germany,19433.0,340200,Kassel,
407,Katowice metropolitan area,Poland,52713.0,2486510,Katowice,
408,Kaunas urban area,Lithuania,14406.0,298753,Kaunas urban area,
409,Kelowna,Canada,8401.0,223529,Kelowna,
410,"Kennewick-Richland, WA MSA",United States,19553.0,311469,Kennewick-Richland,WA MSA
411,Kiel,Germany,26831.0,325300,Kiel,
412,Kielce,Poland,9144.0,192468,Kielce,
413,"Killeen-Temple, TX MSA",United States,24105.0,496228,Killeen-Temple,TX MSA
414,"Kingsport-Bristol, TN-VA MSA",United States,17596.0,311272,Kingsport-Bristol,TN-VA MSA
415,"Kingston, NY MSA",United States,9053.0,182319,Kingston,NY MSA
416,"Kingston, Ontario",Canada,6873.0,176176,Kingston,Ontario
417,"Kitchener, Ontario",Canada,24529.0,593397,Kitchener,Ontario
418,"Knoxville, TN MSA",United States,58893.0,907968,Knoxville,TN MSA
419,Koblenz,Germany,1701.0,113638,Koblenz,
420,"Kokomo, IN MSA",United States,5079.0,83574,Kokomo,IN MSA
421,Kolkata,India,1602.0,17200000,Kolkata,
422,"Konstanz, metropolitan area",Germany,12212.0,288097,Konstanz,metropolitan area
423,Košice,Slovakia,14243.0,228249,Košice,
424,Kraków metropolitan area,Poland,29165.0,1498499,Kraków,
425,Kuala Lumpur,Malaysia,59831.0,8900000,Kuala Lumpur,
426,Kumamoto,Japan,398.0,1817426,Kumamoto,
427,Kunming,China,97628.0,8460088,Kunming,
428,Kuwait City,Kuwait,118000.0,4750000,Kuwait City,
429,Kyiv,Ukraine,275.0,3475000,Kyiv,
430,Kyoto–Osaka–Kobe,Japan,699474.0,17700000,Kyoto–Osaka–Kobe,
431,"La Crosse-Onalaska, WI-MN MSA",United States,9693.0,139094,La Crosse-Onalaska,WI-MN MSA
432,"Lafayette-West Lafayette, IN MSA",United States,14002.0,226452,Lafayette-West Lafayette,IN MSA
433,"Lafayette, LA MSA",United States,24996.0,481125,Lafayette,LA MSA
434,Lagos metropolitan area,Nigeria,102010.0,20100000,Lagos,
435,Lahore,Pakistan,40000.0,13900000,Lahore,
436,"Lake Charles, LA MSA",United States,18574.0,207320,Lake Charles,LA MSA
437,"Lake Havasu City-Kingman, AZ MSA",United States,7715.0,220816,Lake Havasu City-Kingman,AZ MSA
438,"Lakeland-Winter Haven, FL MSA",United States,37305.0,787404,Lakeland-Winter Haven,FL MSA
439,"Lancaster, PA MSA",United States,36312.0,556629,Lancaster,PA MSA
440,"Lansing-East Lansing, MI MSA",United States,32633.0,540870,Lansing-East Lansing,MI MSA
441,"Laredo, TX MSA",United States,17010.0,267780,Laredo,TX MSA
442,"Las Cruces, NM MSA",United States,9336.0,223337,Las Cruces,NM MSA
443,Las Palmas metropolitan area,Spain,1693.0,556159,Las Palmas,
444,"Las Vegas-Henderson-Paradise, NV MSA",United States,160728.0,2322985,Las Vegas-Henderson-Paradise,NV MSA
445,Launceston,Australia,3961.0,89532,Launceston,
446,"Lawrence, KS MSA",United States,6176.0,119964,Lawrence,KS MSA
447,"Lawton, OK MSA",United States,6198.0,128523,Lawton,OK MSA
448,Le Mans Métropole,France,18533.0,267560,Le Mans Métropole,
449,"Lebanon, PA MSA",United States,7510.0,144011,Lebanon,PA MSA
450,Leeds,United Kingdom,371.0,2175000,Leeds,
451,Leeuwarden metropolitan area,Netherlands,11749.0,124084,Leeuwarden,
452,Leiden,Netherlands,18472.0,270225,Leiden,
453,Les Abymes,France,10807.0,52118,Les Abymes,
454,Lethbridge,Canada,5059.0,128795,Lethbridge,
455,"Lewiston-Auburn, ME MSA",United States,6001.0,113023,Lewiston-Auburn,ME MSA
456,"Lewiston, ID-WA MSA",United States,3641.0,65512,Lewiston,ID-WA MSA
457,"Lexington-Fayette, KY MSA",United States,35670.0,517916,Lexington-Fayette,KY MSA
458,Lhasa,China,9832.0,867891,Lhasa,
459,Lianyungang,China,47512.0,4599360,Lianyungang,
460,Liège,Belgium,31085.0,500903,Liège,
461,Lima,Peru,114400.0,11283787,Lima,
462,"Lima, OH MSA",United States,10789.0,101115,Lima,OH MSA
463,Limoges metropolitan area,France,12558.0,296099,Limoges,
464,"Lincoln, NE MSA",United States,25459.0,342448,Lincoln,NE MSA
465,Linz,Austria,43918.0,271234,Linz,
466,Lisbon metropolitan area,Portugal,10333.0,2500000,Lisbon,
467,"Little Rock-North Little Rock-Conway, AR MSA",United States,47322.0,757615,Little Rock-North Little Rock-Conway,AR MSA
468,Liuzhou,China,46060.0,4157934,Liuzhou,
469,Liverpool,United Kingdom,219.0,506565,Liverpool,
470,Ljubljana,Slovenia,23937.0,294464,Ljubljana,
471,Łódź metropolitan area,Poland,21779.0,1112069,Łódź,
472,"Logan, UT-ID MSA",United States,8009.0,155362,Logan,UT-ID MSA
473,London metropolitan area,United Kingdom,978402.0,14800000,London,
474,"London, Ontario",Canada,20818.0,550605,London,Ontario
475,"Longview, TX MSA",United States,20259.0,291219,Longview,TX MSA
476,"Longview, WA MSA",United States,6626.0,111956,Longview,WA MSA
477,Longyan,China,41623.0,2723637,Longyan,
478,"Los Angeles–Long Beach, CA CSA",United States,1227469.0,18372485,Los Angeles–Long Beach,CA CSA
479,"Louisville/Jefferson County, KY-IN MSA",United States,90836.0,1284553,Louisville/Jefferson County,KY-IN MSA
480,"Lubbock, TX MSA",United States,18116.0,328283,Lubbock,TX MSA
481,Lublin,Poland,10065.0,664000,Lublin,
482,Lucknow,India,383.0,4000000,Lucknow,
483,Luoyang,China,74352.0,2550000,Luoyang,
484,Luxembourg metropolitan area,Luxembourg,85503.0,643941,Luxembourg,
485,"Lynchburg, VA MSA",United States,12464.0,263613,Lynchburg,VA MSA
486,Maanshan,China,31706.0,2159930,Maanshan,
487,Macao,China,54677.0,692000,Macao,
488,Mackay,Australia,6540.0,80148,Mackay,
489,"Macon-Bibb County, GA MSA",United States,12760.0,233916,Macon-Bibb County,GA MSA
490,"Madera, CA MSA",United States,7738.0,160256,Madera,CA MSA
491,"Madison, WI MSA",United States,60909.0,687077,Madison,WI MSA
492,Madrid Metropolitan Area,Spain,277508.0,6980646,Madrid Metropolitan Area,
493,Magdeburg,Germany,1825.0,295200,Magdeburg,
494,Makassar Metropolitan,Indonesia,17052.0,2900468,Makassar Metropolitan,
495,Málaga metropolitan area,Spain,3226.0,1030000,Málaga,
496,Malmö,Sweden,64427.0,748433,Malmö,
497,Manado Metropolitan,Indonesia,5487.0,1008126,Manado Metropolitan,
498,Manaus,Brazil,30375.0,1802014,Manaus,
499,"Manchester-Nashua, NH MSA",United States,34533.0,426594,Manchester-Nashua,NH MSA
500,"Manhattan, KS MSA",United States,8457.0,133072,Manhattan,KS MSA
501,"Mankato, MN MSA",United States,6831.0,104072,Mankato,MN MSA
502,"Mansfield, OH MSA",United States,5494.0,125319,Mansfield,OH MSA
503,Mataram  Metropolitan,Indonesia,5491.0,3808908,Mataram  Metropolitan,
504,"McAllen-Edinburg-Mission, TX MSA",United States,27685.0,888367,McAllen-Edinburg-Mission,TX MSA
505,Medan Metropolitan,Indonesia,28248.0,5106670,Medan Metropolitan,
506,Medellín,Colombia,35000.0,4225000,Medellín,
507,"Medford, OR MSA",United States,12024.0,221644,Medford,OR MSA
508,Melbourne,Australia,318677.0,5050000,Melbourne,
509,"Memphis, TN-MS-AR MSA",United States,96183.0,1332305,Memphis,TN-MS-AR MSA
510,"Merced, CA MSA",United States,11560.0,290014,Merced,CA MSA
511,Métropole du Grand Nancy,France,2459.0,427697,Métropole du Grand Nancy,
512,Métropole Nice Côte d'Azur,France,47361.0,1101039,Métropole Nice Côte d'Azur,
513,Métropole Rouen Normandie,France,49637.0,499830,Métropole Rouen Normandie,
514,Metropolis of Lyon,France,116412.0,1424069,Metropolis of Lyon,
515,Metropolitan Area of Bogotá,Colombia,121800.0,10200000,Metropolitan Area of Bogotá,
516,Metropolitan City of Bari,Italy,30011.0,1223102,Metropolitan City of Bari,
517,Metropolitan City of Cagliari,Italy,12645.0,419553,Metropolitan City of Cagliari,
518,Metropolitan City of Catania,Italy,22017.0,1068482,Metropolitan City of Catania,
519,Metropolitan City of Florence,Italy,39496.0,1000111,Metropolitan City of Florence,
520,Metropolitan City of Genoa,Italy,30556.0,564981,Metropolitan City of Genoa,
521,Metropolitan City of Messina,Italy,12441.0,598811,Metropolitan City of Messina,
522,Metropolitan City of Palermo,Italy,2553.0,647160,Metropolitan City of Palermo,
523,Metropolitan Cork,Ireland,117882.0,270000,Metropolitan Cork,
524,"Miami-Fort Lauderdale-Pompano Beach, FL MSA",United States,483755.0,6139340,Miami-Fort Lauderdale-Pompano Beach,FL MSA
525,"Michigan City-La Porte, IN MSA",United States,5286.0,111675,Michigan City-La Porte,IN MSA
526,"Midland, MI MSA",United States,7047.0,83674,Midland,MI MSA
527,"Midland, TX MSA",United States,55015.0,177216,Midland,TX MSA
528,Milan metropolitan area,Italy,233596.0,4985668,Milan,
529,"Milwaukee-Waukesha, WI MSA",United States,120563.0,1559792,Milwaukee-Waukesha,WI MSA
530,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",United States,333102.0,3693729,Minneapolis-St. Paul-Bloomington,MN-WI MSA
531,Minsk,Belarus,19913.0,1995471,Minsk,
532,"Missoula, MT MSA",United States,7710.0,121041,Missoula,MT MSA
533,"Mobile, AL MSA",United States,27361.0,426533,Mobile,AL MSA
534,"Modesto, CA MSA",United States,28674.0,551275,Modesto,CA MSA
535,Monaco,Monaco,6816.0,39150,Monaco,
536,Moncton,Canada,6031.0,159177,Moncton,
537,"Monroe, LA MSA",United States,9650.0,202869,Monroe,LA MSA
538,"Monroe, MI MSA",United States,7119.0,155609,Monroe,MI MSA
539,Monterrey,Mexico,140.0,5324281,Monterrey,
540,Montevideo,Uruguay,539.0,1870000,Montevideo,
541,"Montgomery, AL MSA",United States,22080.0,385460,Montgomery,AL MSA
542,Montpellier Méditerranée Métropole,France,45031.0,487519,Montpellier Méditerranée Métropole,
543,"Morgantown, WV MSA",United States,9657.0,141041,Morgantown,WV MSA
544,"Morristown, TN MSA",United States,6730.0,146172,Morristown,TN MSA
545,Moscow metropolitan area,Russia,504808.0,21700000,Moscow,
546,"Mount Vernon-Anacortes, WA MSA",United States,8773.0,131179,Mount Vernon-Anacortes,WA MSA
547,Mulhouse Alsace Agglomération,France,27213.0,356125,Mulhouse Alsace Agglomération,
548,Multan,Pakistan,12000.0,2225000,Multan,
549,Mumbai,India,27798.0,22300000,Mumbai,
550,"Muncie, IN MSA",United States,5102.0,112031,Muncie,IN MSA
551,Munich Metropolitan Region,Germany,384582.0,2926802,Munich Metropolitan Region,
552,Murcia metropolitan area,Spain,33946.0,1528828,Murcia,
553,"Muskegon, MI MSA",United States,7408.0,176565,Muskegon,MI MSA
554,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",United States,25132.0,536165,Myrtle Beach-Conway-North Myrtle Beach,SC-NC MSA
555,Nagoya,Japan,379301.0,10500000,Nagoya,
556,Nagpur,India,19.0,3127000,Nagpur,
557,Nairobi,Kenya,30.0,4750056,Nairobi,
558,Namur metropolitan area,Belgium,12559.0,319355,Namur,
559,Nanchang,China,83300.0,6255007,Nanchang,
560,Nanjing,China,251000.0,8850000,Nanjing,
561,Nanning,China,54299.0,7765411,Nanning,
562,Nanping,China,29104.0,2680645,Nanping,
563,Nantes,France,65457.0,859972,Nantes,
564,"Napa, CA MSA",United States,13166.0,134300,Napa,CA MSA
565,Naples metropolitan area,Italy,64296.0,3349233,Naples,
566,"Naples-Marco Island, FL MSA",United States,28083.0,397994,Naples-Marco Island,FL MSA
567,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",United States,187781.0,2046828,Nashville-Davidson–Murfreesboro–Franklin,TN MSA
568,National Capital Region (Delhi),India,272603.0,31300000,National Capital Region (Delhi),
569,Neubrandenburg,Germany,8714.0,63043,Neubrandenburg,
570,"New Bern, NC MSA",United States,6619.0,122488,New Bern,NC MSA
571,"New Haven-Milford, CT MSA",United States,61456.0,869527,New Haven-Milford,CT MSA
572,"New Orleans-Metairie, LA MSA",United States,94031.0,1246176,New Orleans-Metairie,LA MSA
573,"New York–Newark, NY-NJ-CT-PA CSA",United States,2163208.0,21914996,New York–Newark,NY-NJ-CT-PA CSA
574,Newcastle,Australia,11554.0,492805,Newcastle,
575,Nicosia,Cyprus,28407.0,350824,Nicosia,
576,Niigata,Japan,433.0,2374450,Niigata,
577,"Niles, MI MSA",United States,9030.0,152900,Niles,MI MSA
578,Ningde,China,37971.0,3146789,Ningde,
579,"North Port-Sarasota-Bradenton, FL MSA",United States,49369.0,891411,North Port-Sarasota-Bradenton,FL MSA
580,Northwest Metropolitan Region,Germany,11573.0,2797706,Northwest Metropolitan Region,
581,"Norwich-New London, CT MSA",United States,22049.0,268681,Norwich-New London,CT MSA
582,Nuremberg Metropolitan Region,Germany,169195.0,3610543,Nuremberg Metropolitan Region,
583,Nyingchi,China,2774.0,238936,Nyingchi,
584,"Ocala, FL MSA",United States,14033.0,396415,Ocala,FL MSA
585,"Ocean City, NJ MSA",United States,6533.0,95634,Ocean City,NJ MSA
586,Odense,Denmark,25361.0,205509,Odense,
587,"Odessa, TX MSA",United States,14192.0,160869,Odessa,TX MSA
588,Offenburg,Germany,20259.0,88600,Offenburg,
589,"Ogden-Clearfield, UT MSA",United States,39168.0,713839,Ogden-Clearfield,UT MSA
590,Okayama,Japan,631.0,1945276,Okayama,
591,"Oklahoma City, OK MSA",United States,94742.0,1459380,Oklahoma City,OK MSA
592,"Olympia-Lacey-Tumwater, WA MSA",United States,17927.0,298758,Olympia-Lacey-Tumwater,WA MSA
593,"Omaha-Council Bluffs, NE-IA MSA",United States,85021.0,976671,Omaha-Council Bluffs,NE-IA MSA
594,Opole,Poland,8559.0,146522,Opole,
595,Orange,Australia,3204.0,40493,Orange,
596,Ordos,China,51232.0,2153638,Ordos,
597,"Orlando-Kissimmee-Sanford, FL MSA",United States,194472.0,2764182,Orlando-Kissimmee-Sanford,FL MSA
598,Orléans,France,27499.0,453067,Orléans,
599,Oshawa,Canada,10321.0,424757,Oshawa,
600,"Oshkosh-Neenah, WI MSA",United States,12398.0,170718,Oshkosh-Neenah,WI MSA
601,Oslo,Norway,73715.0,1190000,Oslo,
602,Osnabrück,Germany,23005.0,272674,Osnabrück,
603,Ostrava metropolitan area,Czech Republic,25054.0,949291,Ostrava,
604,Ottawa–Gatineau,Canada,67042.0,1462582,Ottawa–Gatineau,
605,"Owensboro, KY MSA",United States,6742.0,121348,Owensboro,KY MSA
606,"Oxnard-Thousand Oaks-Ventura, CA MSA",United States,62329.0,832605,Oxnard-Thousand Oaks-Ventura,CA MSA
607,Padang Metropolitan,Indonesia,6213.0,1441760,Padang Metropolitan,
608,Paderborn,Germany,12659.0,309380,Paderborn,
609,Padua–Treviso–Venice metropolitan area,Italy,34796.0,2748420,Padua–Treviso–Venice,
610,Palembang Metropolitan,Indonesia,16561.0,3722087,Palembang Metropolitan,
611,"Palm Bay-Melbourne-Titusville, FL MSA",United States,34626.0,630693,Palm Bay-Melbourne-Titusville,FL MSA
612,Palma de Mallorca metropolitan area,Spain,24507.0,422587,Palma de Mallorca,
613,Pamplona metropolitan area,Spain,21636.0,359435,Pamplona,
614,"Panama City, FL MSA",United States,11683.0,185134,Panama City,FL MSA
615,Panjin,China,18900.0,1389691,Panjin,
616,Panzhihua,China,15090.0,1212203,Panzhihua,
617,Paris metropolitan area,France,934168.0,14800000,Paris,
618,"Parkersburg-Vienna, WV MSA",United States,4354.0,88431,Parkersburg-Vienna,WV MSA
619,Parma,Italy,19202.0,450854,Parma,
620,Patna,India,30.0,2800000,Patna,
621,Pekanbaru Metropolitan,Indonesia,25279.0,2718278,Pekanbaru Metropolitan,
622,"Pensacola-Ferry Pass-Brent, FL MSA",United States,27080.0,523146,Pensacola-Ferry Pass-Brent,FL MSA
623,"Peoria, IL MSA",United States,26282.0,396466,Peoria,IL MSA
624,Perpignan Méditerranée Métropole,France,1443.0,292142,Perpignan Méditerranée Métropole,
625,Perth,Australia,111056.0,2087086,Perth,
626,Perugia metropolitan area,Italy,18509.0,637598,Perugia,
627,"Peterborough, Ontario",Canada,3657.0,131665,Peterborough,Ontario
628,Pforzheim,Germany,12932.0,215100,Pforzheim,
629,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",United States,518485.0,6241164,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD MSA
630,"Phoenix-Mesa-Chandler, AZ MSA",United States,362087.0,5015678,Phoenix-Mesa-Chandler,AZ MSA
631,"Pine Bluff, AR MSA",United States,4122.0,84629,Pine Bluff,AR MSA
632,"Pittsburgh, PA MSA",United States,181485.0,2349172,Pittsburgh,PA MSA
633,"Pittsfield, MA MSA",United States,8155.0,127859,Pittsfield,MA MSA
634,Ploiești,Romania,8827.0,180540,Ploiești,
635,Plzeň,Czech Republic,13742.0,174007,Plzeň,
636,"Pocatello, ID MSA",United States,4229.0,97585,Pocatello,ID MSA
637,"Port St. Lucie, FL MSA",United States,24146.0,520710,Port St. Lucie,FL MSA
638,"Portland-South Portland, ME MSA",United States,43764.0,561576,Portland-South Portland,ME MSA
639,"Portland-Vancouver-Hillsboro, OR-WA MSA",United States,204319.0,2509489,Portland-Vancouver-Hillsboro,OR-WA MSA
640,Porto Alegre,Brazil,45506.0,3701525,Porto Alegre,
641,Porto metropolitan area,Portugal,40868.0,1550000,Porto,
642,Poznań metropolitan area,Poland,33829.0,546859,Poznań,
643,Prague metropolitan area,Czech Republic,130085.0,1460000,Prague,
644,Prato,Italy,8564.0,195213,Prato,
645,"Prescott Valley–Prescott, AZ MSA",United States,6111.0,236209,Prescott Valley–Prescott,AZ MSA
646,Pretoria,South Africa,56286.0,7426673,Pretoria,
647,"Providence-Warwick, RI-MA MSA",United States,105571.0,1673802,Providence-Warwick,RI-MA MSA
648,"Provo-Orem, UT MSA",United States,40761.0,715001,Provo-Orem,UT MSA
649,Puebla,Mexico,31102.0,3903485,Puebla,
650,"Pueblo, CO MSA",United States,7836.0,169544,Pueblo,CO MSA
651,Pune,India,69.0,9429408,Pune,
652,"Punta Gorda, FL MSA",United States,7714.0,202661,Punta Gorda,FL MSA
653,Putian,China,38333.0,3210714,Putian,
654,Qingdao,China,222.0,7050000,Qingdao,
655,Quanzhou,China,180.0,8782285,Quanzhou,
656,Quebec City,Canada,35742.0,832021,Quebec City,
657,Quzhou,China,23764.0,2276184,Quzhou,
658,"Racine, WI MSA",United States,9909.0,195846,Racine,WI MSA
659,"Raleigh-Cary, NC MSA",United States,119675.0,1484338,Raleigh-Cary,NC MSA
660,"Rapid City, SD MSA",United States,8459.0,145159,Rapid City,SD MSA
661,"Reading, PA MSA",United States,23751.0,430449,Reading,PA MSA
662,Recife,Brazil,2281.0,3741898,Recife,
663,"Redding, CA MSA",United States,9921.0,180930,Redding,CA MSA
664,Regensburg,Germany,25618.0,243200,Regensburg,
665,Reggio Emilia metropolitan area,Italy,21133.0,525366,Reggio Emilia,
666,"Regina, Saskatchewan",Canada,1302.0,263236,Regina,Saskatchewan
667,Rennes Métropole,France,48287.0,624744,Rennes Métropole,
668,"Reno, NV MSA",United States,40095.0,500915,Reno,NV MSA
669,Frankfurt Rhine-Main Metropolitan Region,Germany,197259.0,5808518,Frankfurt Rhine-Main Metropolitan Region,
670,Rhine-Neckar Metropolitan Region,Germany,113354.0,2362000,Rhine-Neckar Metropolitan Region,
671,"Richmond, VA MSA",United States,109513.0,1339182,Richmond,VA MSA
672,Riga metropolitan area,Latvia,25207.0,663012,Riga,
673,Rio de Janeiro metropolitan area,Brazil,195095.0,13463349,Rio de Janeiro,
674,"Riverside-San Bernardino-Ontario, CA MSA",United States,237913.0,4667558,Riverside-San Bernardino-Ontario,CA MSA
675,Riyadh,Saudi Arabia,243793.0,7009000,Riyadh,
676,"Roanoke, VA MSA",United States,19936.0,314340,Roanoke,VA MSA
677,"Rochester, MN MSA",United States,16500.0,228073,Rochester,MN MSA
678,"Rochester, NY MSA",United States,75085.0,1081152,Rochester,NY MSA
679,"Rockford, IL MSA",United States,18129.0,335342,Rockford,IL MSA
680,Rockhampton,Australia,5342.0,78592,Rockhampton,
681,"Rocky Mount, NC MSA",United States,8097.0,144090,Rocky Mount,NC MSA
682,Rome metropolitan area,Italy,175336.0,4325591,Rome,
683,"Rome, GA MSA",United States,4947.0,99443,Rome,GA MSA
684,Rostock,Germany,15661.0,243000,Rostock,
685,Rotterdam,Netherlands,112578.0,1876165,Rotterdam,
686,Rzeszów,Poland,8547.0,195871,Rzeszów,
687,Saarbrücken,Germany,33295.0,700000,Saarbrücken,
688,"Sacramento-Roseville-Folsom, CA MSA",United States,176276.0,2416702,Sacramento-Roseville-Folsom,CA MSA
689,"Saginaw, MI MSA",United States,10091.0,188330,Saginaw,MI MSA
690,"Saguenay, Quebec",Canada,6345.0,163335,Saguenay,Quebec
691,"Saint John, New Brunswick",Canada,4747.0,131935,Saint John,New Brunswick
692,Saint Petersburg,Russia,128000.0,6200000,Saint Petersburg,
693,Saint-Étienne Métropole,France,26675.0,425495,Saint-Étienne Métropole,
694,"Salem, OR MSA",United States,24075.0,436317,Salem,OR MSA
695,"Salinas, CA MSA",United States,33249.0,432858,Salinas,CA MSA
696,"Salisbury, MD-DE MSA",United States,28573.0,439032,Salisbury,MD-DE MSA
697,"Salt Lake City, UT MSA",United States,135409.0,1266191,Salt Lake City,UT MSA
698,Salvador,Brazil,1798.0,3600000,Salvador,
699,Salzburg,Austria,23287.0,157245,Salzburg,
700,"San Angelo, TX MSA",United States,9238.0,121839,San Angelo,TX MSA
701,"San Antonio-New Braunfels, TX MSA",United States,163061.0,2655342,San Antonio-New Braunfels,TX MSA
702,"San Diego-Chula Vista-Carlsbad, CA MSA",United States,295645.0,3276208,San Diego-Chula Vista-Carlsbad,CA MSA
703,"San Jose-San Francisco–Oakland, CA CSA",United States,1383000.0,6518123,San Jose-San Francisco–Oakland,CA CSA
704,San Juan,Puerto Rico,45461.0,1920000,San Juan,
705,"San Luis Obispo-Paso Robles, CA MSA",United States,21713.0,282013,San Luis Obispo-Paso Robles,CA MSA
706,San Marino,San Marino,2034.0,34000,San Marino,
707,San Sebastián metropolitan area,Spain,24897.0,428187,San Sebastián,
708,Sanmenxia,China,21033.0,2034872,Sanmenxia,
709,Sanming,China,39177.0,2486450,Sanming,
710,Santa Cruz de Tenerife metropolitan area,Spain,19575.0,434083,Santa Cruz de Tenerife,
711,"Santa Cruz-Watsonville, CA MSA",United States,19176.0,264370,Santa Cruz-Watsonville,CA MSA
712,"Santa Fe, NM MSA",United States,8797.0,155664,Santa Fe,NM MSA
713,"Santa Maria-Santa Barbara, CA MSA",United States,36081.0,443837,Santa Maria-Santa Barbara,CA MSA
714,"Santa Rosa-Petaluma, CA MSA",United States,36877.0,482650,Santa Rosa-Petaluma,CA MSA
715,Santander metropolitan area,Spain,14665.0,256025,Santander,
716,Santiago Metropolitan Region,Chile,128800.0,8050000,Santiago Metropolitan Region,
717,Santiago de Cali,Colombia,22100.0,2925000,Santiago de Cali,
718,Santos,Brazil,28609.0,1556718,Santos,
719,São José dos Campos,Brazil,30148.0,1419657,São José dos Campos,
720,São José dos Pinhais,Brazil,14726.0,264210,São José dos Pinhais,
721,Sapporo,Japan,847.0,1913545,Sapporo,
722,Saskatoon,Canada,15059.0,336850,Saskatoon,
723,"Savannah, GA MSA",United States,29452.0,418373,Savannah,GA MSA
724,Schweinfurt,Germany,12847.0,100500,Schweinfurt,
725,"Scranton–Wilkes-Barre, PA MSA",United States,32328.0,567998,Scranton–Wilkes-Barre,PA MSA
726,"Seattle-Tacoma-Bellevue, WA MSA",United States,517803.0,4034248,Seattle-Tacoma-Bellevue,WA MSA
727,"Sebastian-Vero Beach, FL MSA",United States,9573.0,167352,Sebastian-Vero Beach,FL MSA
728,"Sebring-Avon Park, FL MSA",United States,3215.0,105618,Sebring-Avon Park,FL MSA
729,Semarang Metropolitan,Indonesia,26057.0,6608815,Semarang Metropolitan,
730,Sendai,Japan,50.0,1082159,Sendai,
731,Seoul Capital Area,South Korea,878535.0,24800000,Seoul Capital Area,
732,Seville metropolitan area,Spain,42016.0,1558006,Seville,
733,Shanghai,China,663874.0,24890106,Shanghai,
734,Shantou,China,348.0,5502031,Shantou,
735,Shaoxing,China,86999.0,5270977,Shaoxing,
736,"Sheboygan, WI MSA",United States,8087.0,117841,Sheboygan,WI MSA
737,Sheffield,United Kingdom,406.0,1570000,Sheffield,
738,Shenyang,China,95276.0,8000000,Shenyang,
739,Sherbrooke,Canada,702.0,224456,Sherbrooke,
740,"Sherman-Denison, TX MSA",United States,6331.0,143131,Sherman-Denison,TX MSA
741,Shijiazhuang,China,81252.0,11235086,Shijiazhuang,
742,Shizuishan,China,7853.0,751389,Shizuishan,
